team,fifa_code,group,players,mean_age,age_std,under_23_share,over_30_share,mean_height,total_caps,mean_caps,total_international_goals,top3_cap_share,top3_goal_share,forward_goal_depth,top_five_league_share,domestic_club_share,club_diversity,goalkeeper_share,defender_share,midfielder_share,forward_share,official_stats_coverage
Algeria,ALG,J,26,26.85410414363187,3.6001360971389476,0.07692307692307693,0.19230769230769232,182.65384615384616,793.0,30.5,121.0,0.403530895334174,0.5537190082644629,10.857142857142858,0.5,0.11538461538461539,0.9230769230769231,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692,1.0
Argentina,ARG,J,26,29.118201442636767,4.370344908957644,0.07692307692307693,0.34615384615384615,179.57692307692307,1267.0,48.73076923076923,226.0,0.3322809786898185,0.7566371681415929,25.571428571428573,0.7692307692307693,0.07692307692307693,0.7307692307692307,0.11538461538461539,0.2692307692307692,0.34615384615384615,0.2692307692307692,1.0
Australia,AUS,D,26,27.359448217764438,4.891343563656213,0.2692307692307692,0.34615384615384615,183.57692307692307,767.0,29.5,75.0,0.3559322033898305,0.52,4.875,0.34615384615384615,0.19230769230769232,0.8461538461538461,0.11538461538461539,0.38461538461538464,0.19230769230769232,0.3076923076923077,1.0
Austria,AUT,J,26,28.611488443110623,3.6639800975522663,0.07692307692307693,0.3076923076923077,184.96153846153845,1020.0,39.23076923076923,151.0,0.34019607843137256,0.6490066225165563,19.25,0.6923076923076923,0.11538461538461539,0.8461538461538461,0.11538461538461539,0.3076923076923077,0.4230769230769231,0.15384615384615385,1.0
Belgium,BEL,G,26,27.614489548781133,5.066557631938403,0.19230769230769232,0.34615384615384615,185.80769230769232,1101.0,42.34615384615385,214.0,0.3496821071752952,0.6542056074766355,20.166666666666668,0.7692307692307693,0.11538461538461539,0.6923076923076923,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078,1.0
Bosnia and Herzegovina,BIH,B,26,26.42247143684515,4.89965073243311,0.23076923076923078,0.15384615384615385,187.07692307692307,629.0,24.192307692307693,95.0,0.41017488076311603,0.8526315789473684,12.142857142857142,0.38461538461538464,0.038461538461538464,0.9230769230769231,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692,1.0
Brazil,BRA,C,26,29.363028484178383,4.6378671067770885,0.07692307692307693,0.4230769230769231,183.1153846153846,948.0,36.46153846153846,156.0,0.3407172995780591,0.6602564102564102,13.0,0.5384615384615384,0.2692307692307692,0.7692307692307693,0.11538461538461539,0.3076923076923077,0.23076923076923078,0.34615384615384615,1.0
Canada,CAN,B,26,26.99699889432949,3.258605689737699,0.15384615384615385,0.19230769230769232,181.75,963.0,37.03846153846154,136.0,0.2731048805815161,0.6544117647058824,14.166666666666666,0.4230769230769231,0.07692307692307693,0.8461538461538461,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078,0.9230769230769231
Cape Verde,CPV,H,26,29.676407097351653,4.756867283055856,0.0,0.4230769230769231,181.34615384615384,841.0,32.34615384615385,75.0,0.2984542211652794,0.52,11.666666666666666,0.038461538461538464,0.0,1.0,0.11538461538461539,0.3076923076923077,0.46153846153846156,0.11538461538461539,1.0
Colombia,COL,K,26,30.089296056441846,3.870220629936334,0.038461538461538464,0.46153846153846156,180.0,1059.0,40.73076923076923,111.0,0.3182247403210576,0.5585585585585585,6.666666666666667,0.34615384615384615,0.038461538461538464,0.9230769230769231,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078,1.0
Croatia,CRO,L,26,28.32875269836255,4.874944377807726,0.07692307692307693,0.2692307692307692,184.76923076923077,1176.0,45.23076923076923,155.0,0.4005102040816326,0.6645161290322581,14.166666666666666,0.6923076923076923,0.07692307692307693,0.9230769230769231,0.11538461538461539,0.3076923076923077,0.34615384615384615,0.23076923076923078,1.0
Curaçao,CUW,E,26,28.0209550887169,4.070517513732316,0.07692307692307693,0.3076923076923077,181.92307692307693,635.0,24.423076923076923,73.0,0.32440944881889766,0.5342465753424658,3.625,0.11538461538461539,0.0,0.8461538461538461,0.11538461538461539,0.3076923076923077,0.2692307692307692,0.3076923076923077,1.0
Czech Republic,CZE,A,26,27.620807665982205,4.122467981480677,0.038461538461538464,0.3076923076923077,185.73076923076923,754.0,29.0,100.0,0.3129973474801061,0.51,7.571428571428571,0.2692307692307692,0.6538461538461539,0.4230769230769231,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692,1.0
DR Congo,COD,K,26,29.06870952456168,3.6365454567422035,0.11538461538461539,0.38461538461538464,181.0,806.0,31.0,81.0,0.30893300248138955,0.5185185185185185,7.714285714285714,0.5,0.0,0.9230769230769231,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692,1.0
Ecuador,ECU,E,26,26.07760753961986,4.44476169572623,0.2692307692307692,0.11538461538461539,180.53846153846155,785.0,30.192307692307693,94.0,0.289171974522293,0.6595744680851063,9.714285714285714,0.2692307692307692,0.07692307692307693,0.8846153846153846,0.11538461538461539,0.3076923076923077,0.3076923076923077,0.2692307692307692,1.0
Egypt,EGY,G,26,29.058916442900017,4.3570011403584985,0.038461538461538464,0.46153846153846156,181.08,811.0,31.192307692307693,126.0,0.35758323057953145,0.8015873015873016,15.571428571428571,0.19230769230769232,0.6538461538461539,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.9615384615384616
England,ENG,L,26,27.144105723161164,4.056391009796567,0.11538461538461539,0.2692307692307692,184.6153846153846,853.0,32.80769230769231,153.0,0.34583821805392734,0.7450980392156863,18.0,0.9615384615384616,0.8076923076923077,0.6153846153846154,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692,1.0
France,FRA,I,26,27.001000368556838,3.8152598446774446,0.15384615384615385,0.23076923076923078,184.92307692307693,816.0,31.384615384615383,103.0,0.27941176470588236,0.6990291262135923,11.857142857142858,0.9230769230769231,0.3076923076923077,0.6923076923076923,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692,1.0
Germany,GER,E,26,28.046754067287946,4.780022583729343,0.11538461538461539,0.3076923076923077,186.19230769230768,860.0,33.07692307692308,112.0,0.37093023255813956,0.5,8.75,0.9615384615384616,0.7307692307692307,0.5,0.11538461538461539,0.3076923076923077,0.4230769230769231,0.15384615384615385,1.0
Ghana,GHA,L,26,26.975201389985784,4.070038758473235,0.2692307692307692,0.23076923076923078,182.32,584.0,22.46153846153846,69.0,0.398972602739726,0.782608695652174,5.625,0.6538461538461539,0.038461538461538464,0.8846153846153846,0.11538461538461539,0.34615384615384615,0.23076923076923078,0.3076923076923077,0.9615384615384616
Haiti,HAI,C,26,27.577844469014902,4.0693019529372165,0.07692307692307693,0.19230769230769232,181.57692307692307,659.0,25.346153846153847,115.0,0.3505311077389985,0.7652173913043478,11.333333333333334,0.3076923076923077,0.038461538461538464,0.9615384615384616,0.11538461538461539,0.3076923076923077,0.23076923076923078,0.34615384615384615,1.0
Iran,IRN,G,26,30.3325435686832,4.316582307014759,0.07692307692307693,0.6153846153846154,183.36363636363637,973.0,37.42307692307692,136.0,0.36279547790339156,0.6617647058823529,12.0,0.0,0.6538461538461539,0.5384615384615384,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078,0.8461538461538461
Iraq,IRQ,I,26,26.914758068762175,3.7725041475368237,0.15384615384615385,0.23076923076923078,183.03846153846155,845.0,32.5,89.0,0.3289940828402367,0.7640449438202247,9.714285714285714,0.07692307692307693,0.38461538461538464,0.7692307692307693,0.11538461538461539,0.34615384615384615,0.2692307692307692,0.2692307692307692,1.0
Ivory Coast,CIV,E,26,25.848996998894336,3.7807085265695157,0.23076923076923078,0.15384615384615385,182.92307692307693,722.0,27.76923076923077,83.0,0.314404432132964,0.4578313253012048,4.333333333333333,0.46153846153846156,0.0,0.9615384615384616,0.11538461538461539,0.3076923076923077,0.23076923076923078,0.34615384615384615,1.0
Japan,JPN,F,26,27.75043437055757,4.142375565430388,0.11538461538461539,0.15384615384615385,181.6153846153846,823.0,31.653846153846153,115.0,0.34264884568651277,0.3826086956521739,6.75,0.5,0.11538461538461539,0.8846153846153846,0.11538461538461539,0.34615384615384615,0.38461538461538464,0.15384615384615385,1.0
Jordan,JOR,J,26,28.465539935765808,4.16452361886916,0.11538461538461539,0.38461538461538464,180.30769230769232,1079.0,41.5,91.0,0.2520852641334569,0.6813186813186813,11.333333333333334,0.038461538461538464,0.46153846153846156,0.5384615384615384,0.11538461538461539,0.34615384615384615,0.3076923076923077,0.23076923076923078,1.0
Mexico,MEX,A,26,27.900700257989783,4.641607598210086,0.15384615384615385,0.3076923076923077,179.5,1253.0,48.19230769230769,121.0,0.3232242617717478,0.5371900826446281,9.375,0.19230769230769232,0.46153846153846156,0.8076923076923077,0.11538461538461539,0.2692307692307692,0.3076923076923077,0.3076923076923077,1.0
